company_name,framework,indicator_name,indicator_value,sasb_materiality,region,sector,environment,social,governance,timestamp,data_source
Top Company 1 - TNFD,TNFD,Proportion and total annual revenue exposed to transition risks,0.0866992080799793,0,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",0,1,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and value of assets exposed to transition risks.,0.3968519940590321,0,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",0,1,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and value of assets exposed to risks due to technological changes.,0.0,0,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",1,0,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and total annual revenue affected by negative stakeholder feedback.,0.15187756336535252,1,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",0,1,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and total annual revenue exposed to acute physical risks.,0.2103107754631726,0,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",1,0,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and value of assets exposed to chronic physical risks.,0.14844906996891782,1,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",1,0,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and value of assets exposed to risks of ecosystem collapse.,0.5418808646252072,1,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",1,0,0,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Cumulative risk exposure due to aggregated minor risk events.,0.24397534278609045,1,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",0,0,1,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 1 - TNFD,TNFD,Proportion and value of assets exposed to contagion risks.,0.39587161493947914,1,"China,Japan,New Zealand","Manufacturing,Construction,Health,Agriculture",0,0,1,"2004/04/04, 00:00:00",Synthetic data for Top Company 1 - TNFD
Top Company 2 - TNFD TCFD APRA_CPG_229,TNFD,Proportion and total annual revenue exposed to transition risks,0.33301388071648474,0,"Australia,New Zealand",Mining,0,1,0,"2007/07/07, 00:00:00",Synthetic data for Top Company 2 - TNFD TCFD APRA_CPG_229
